"","x"
"1","KUHL E, 2023, ECOSPHERE"
"2","DOMÍNGUEZ-DELMÁS M, 2020, J ARCHAEOL SCI-REP"
"3","D'ANDREA R, 2023, SCI TOTAL ENVIRON"
"4","NAYLING N, 2014, INT J NAUT ARCHAEOL"
"5","MILLER OL, 2014, APPL GEOCHEM"
"6","LÄÄNELAID A, 2021, BALT J HIST"
"7","HANECA K, 2014, INT J NAUT ARCHAEOL"
"8","MONTWÉ D, 2018, NAT COMMUN"
"9","RODRÍGUEZ-TROBAJO E, 2015, J ARCHAEOL SCI"
"10","DOMÍNGUEZ-DELMÁS M, 2013, EUR J FOREST RES"
"11","BEKKER MF, 2016, TREE-RING RES"
"12","CUFAR K, 2017, J CULT HERIT"
"13","HACKET-PAIN AJ, 2016, EUR J FOREST RES"
"14","PONOCNÁ T, 2016, TREES-STRUCT FUNCT"
"15","BOSSEMA FG, 2021, SCI REP-UK"
"16","DOMÍNGUEZ-DELMÁS M, 2019, INT J NAUT ARCHAEOL"
"17","SUSPERREGI J, 2022, TREE-RING RES"
"18","DOMÍNGUEZ-DELMÁS M, 2014, J ARCHAEOL SCI"
"19","BOSWIJK G, 2019, DENDROCHRONOLOGIA"
"20","BROOKHOUSE M, 2021, STUD CONSERV"
"21","HANECA K, 2018, ANTIQUITY"
"22","GUITERMAN CH, 2020, AM ANTIQUITY"
"23","DOMÍNGUEZ-DELMÁS M, 2023, J CULT HERIT"
"24","DOMÍNGUEZ-DELMAS M, 2021, J CULT HERIT"
"25","BERNABEI M, 2021, HERIT SCI"
"26","DOMÍNGUEZ-DELMÁS M, 2018, J ARCHAEOL SCI"
"27","LELAND C, 2021, J ARCHAEOL SCI-REP"
"28","DALY A, 2022, J ARCHAEOL SCI"
"29","MUNDO IA, 2022, DENDROCHRONOLOGIA"
"30","AKHMETZYANOV L, 2020, SCI REP-UK"
"31","JANSMA E, 2014, J ARCHAEOL SCI"
"32","OMUROVA GT, 2020, J ARCHAEOL SCI"
"33","VERMEERSCH J, 2015, INT J NAUT ARCHAEOL"
"34","JANSMA E, 2020, NETH J GEOSCI"
"35","ROZAS V, 2020, DENDROCHRONOLOGIA"
"36","HOLE GM, 2022, PALAEOGEOGR PALAEOCL"
"37","VAN HAM-MEERT A, 2023, PLOS ONE"
"38","BELASUS M, 2022, INT J NAUT ARCHAEOL"
"39","TAORMINA R, 2016, TREE-RING RES"
"40","BOSWIJK G, 2021, NEW ZEAL GEOGR"
"41","MEASON DF, 2016, NEW FOREST"
"42","HANSSON A, 2021, DENDROCHRONOLOGIA"
"43","MVOLO CS, 2019, FORESTS"
"44","BIGOT D, 2019, J RENEW MATER"
"45","GIACHI G, 2017, J CULT HERIT"
"46","TORRALBA MG, 2021, MICROB ECOL"
"47","DALY A, 2017, APPL PHYS A-MATER"
"48","BERNABEI M, 2017, INT J ARCHIT HERIT"
"49","GREER K, 2023, CAN GEOGR-GEOGR CAN"
"50","BATES A, 2017, ACM T INTERNET TECHN"
"51","GASSON PE, 2021, PLANTS PEOPLE PLANET"
"52","BRIDGE MC, 2019, DENDROCHRONOLOGIA"
"53","BARALDI P, 2014, ARCHAEOMETRY"
"54","AKHMETZYANOV L, 2020, DENDROCHRONOLOGIA"
"55","TRUJILLO-MOYA C, 2018, G3-GENES GENOM GENET"
"56","MACCHIONI N, 2015, J CULT HERIT"
"57","WILCZYNSKI S, 2019, DENDROBIOLOGY"
"58","BERNABEI M, 2021, INT J ARCHIT HERIT"
"59","WÖHLER-GESKE A, 2016, LANDBAUFORSCHUNG-GER"
"60","VAN LANEN RJ, 2016, J ARCHAEOL SCI"
"61","KNAPIC S, 2022, FORESTS"
"62","EILMANN B, 2014, TREE PHYSIOL"
"63","CONDE-GARCÍA M, 2021, FOREST SYST"
"64","MUÑOZ GR, 2021, HOLZFORSCHUNG"
"65","BOSWIJK G, 2018, J ARCHAEOL SCI-REP"
"66","MARTIN-BENITO D, 2014, TREE-RING RES"
"67","DUCHESNE I, 2022, CAN J FOREST RES"
"68","TRZEC IP, 2020, RADOVI I POVIJEST UM"
"69","CHHIN S, 2018, FOR ECOSYST"
"70","TRAORÉ M, 2018, J ARCHAEOL SCI"
"71","GIACHI G, 2021, J CULT HERIT"
"72","AKKEMIK Ü, 2019, DENDROCHRONOLOGIA"
"73","MATISONS R, 2021, FORESTS"
"74","RADEMAKERS FW, 2020, J ARCHAEOL SCI"
"75","DRAKE BL, 2018, DENDROCHRONOLOGIA"
"76","GUT U, 2020, PLOS ONE"
"77","ESCHENBRENNER-DIEMER G, 2018, ARCHAEOL INT"
"78","BRUNETTI M, 2020, EUR J WOOD WOOD PROD"
"79","CUFAR K, 2014, DENDROCHRONOLOGIA"
"80","RIECHELMANN DFC, 2020, IFOREST"
"81","KLISZ M, 2019, FRONT PLANT SCI"
"82","BELTRAME C, 2021, ENVIRON ARCHAEOL"
"83","AVILA DT, 2020, MADERA BOSQUES"
"84","NAKAGAWA R, 2019, J ARCHAEOL SCI-REP"
"85","AKHMETZYANOV L, 2019, J BIOGEOGR"
"86","ELAIEB MT, 2017, BOIS FOR TROP"
"87","RYSÁNEK R, 2023, STUD CONSERV"
"88","THACKER M, 2021, HERIT SCI"
"89","CHUCHALA D, 2021, COATINGS"
"90","SHINDO L, 2019, DENDROCHRONOLOGIA"
"91","BOUCHAUD C, 2021, J ARCHAEOL SCI-REP"
"92","NOGUEIRA MCDA, 2020, BIOSCI J"
"93","CHERUBINI P, 2022, DENDROCHRONOLOGIA"
"94","BERNABEI M, 2023, ARCHAEOMETRY"
"95","BERNABEI M, 2017, J CULT HERIT"
"96","JAMES HF, 2022, J ARCHAEOL SCI"
"97","KOWALCZYK J, 2019, SYLWAN"
"98","LINDERHOLM HW, 2021, POLAR SCI"
"99","GRABNER M, 2018, INT J ARCHIT HERIT"
"100","ENRICH LBD, 2022, COMPLUTUM"
"101","KOLAR T, 2022, GLOBAL PLANET CHANGE"
"102","VISSER RM, 2021, ARCHAEOMETRY"
"103","PINTA E, 2021, ENVIRON ARCHAEOL"
"104","RICH S, 2016, ARCHAEOL ANTHROP SCI"
"105","HOLE GM, 2017, J GEOPHYS RES-OCEANS"
"106","DOMÍNGUEZ-DELMÁS M, 2020, DENDROCHRONOLOGIA"
"107","SEHO M, 2019, SEEFOR-SOUTH-EAST EU"
"108","MASS E, 2022, CHEM GEOL"
"109","MACHADO A, 2017, MICROSC MICROANAL"
"110","VAN HAM-MEERT A, 2020, J ARCHAEOL SCI"
"111","JONES AJ, 2021, PALAEOGEOGR PALAEOCL"
"112","DOMINGUEZ-DELMAS M, 2021, DENDROCHRONOLOGIA"
"113","WOOD EC, 2022, BMC BIOINFORMATICS"
"114","THUN T, 2016, DENDROCHRONOLOGIA"
"115","MARTÍNEZ-SANCHO E, 2021, SCI TOTAL ENVIRON"
"116","DOMÉNECH-CARBÓ A, 2017, ANAL METHODS-UK"
"117","GUT U, 2018, DENDROCHRONOLOGIA"
"118","WOOD M, 2023, AFR ARCHAEOL REV"
"119","MACEDO HR, 2013, SCI FOR"
"120","HOLE GM, 2021, J GEOPHYS RES-OCEANS"
"121","BAI QS, 2022, FRONT ECOL EVOL"
"122","CARLSON AE, 2017, GEOLOGY"
"123","SANCHES FACRD, 2020, RADIAT PHYS CHEM"
"124","FINCH KN, 2020, CONSERV GENET"
"125","KLÁPSTE J, 2022, PLOS ONE"
"126","KEMPER JT, 2022, CATENA"
"127","HERRICK HM, 2019, J ARCHAEOL SCI-REP"
"128","JANG IN, 2022, ARCHAEOL ANTHROP SCI"
"129","HUANG X, 2021, ECOL INDIC"
"130","CHLACHULA J, 2022, ANTHROPOLOGIE"
"131","KARANITSCH-ACKERL S, 2019, J HYDROL"
"132","BOCKSTETTE SW, 2020, NEW FOREST"
"133","BUNCH AW, 2017, J FORENSIC SCI"
"134","BERNABEI M, 2022, J CULT HERIT"
"135","BERNABEI M, 2022, ARCHAEOMETRY"
"136","MILLION S, 2018, QUATERN INT"
"137","VITAS A, 2022, DENDROCHRONOLOGIA"
"138","CHRISTOPOULOU A, 2020, FORESTS"
"139","WOOD JR, 2022, ARCHAEOMETRY"
"140","BERNABEI M, 2023, J CULT HERIT"
"141","KOCHERGINA VYE, 2021, J ARCHAEOL SCI"
"142","CREASMAN PP, 2015, DENDROCHRONOLOGIA"
"143","ROUSSEVA R, 2022, PALAEOBULGARICA"
"144","MARTINELLI E, 2019, PALYNOLOGY"
"145","LOCOSSSSELLI GM, 2017, ERDKUNDE"
"146","HOUSSET JM, 2016, FRONT ECOL EVOL"
"147","SOCHOVA I, 2021, DENDROCHRONOLOGIA"
"148","ROSENBERG D, 2021, SCI REP-UK"
"149","SÁNCHEZ-SALGUERO R, 2013, FOREST ECOL MANAG"
"150","VISSER RM, 2015, J ARCHAEOL SCI"
"151","BERNABEI M, 2018, J CULT HERIT"
"152","ARBOUR VM, 2020, CAN J EARTH SCI"
"153","KENNETH F, 2023, EUR J PHYCOL"
"154","JHA RK, 2019, URBAN FOR URBAN GREE"
"155","BERANEK LP, 2016, LITHOSPHERE-US"
"156","BILLAMBOZ A, 2014, ENVIRON ARCHAEOL"
"157","BINDA G, 2021, SCI TOTAL ENVIRON"
"158","LORENTZEN B, 2020, J ARCHAEOL SCI-REP"
"159","WEIGEL R, 2023, GLOBAL CHANGE BIOL"
"160","LEUSCHNER C, 2023, FORESTS"
"161","VIZCAÍNO-PALOMAR N, 2016, ECOL EVOL"
"162","GRAY LK, 2016, FOREST ECOL MANAG"
"163","EVANS MR, 2019, ROY SOC OPEN SCI"
"164","VÁZQUEZ-GONZÁLEZ C, 2021, DENDROCHRONOLOGIA"
"165","RICHARDSON M, 2016, INT J NAUT ARCHAEOL"
"166","AKKEMIK Ü, 2020, DENDROCHRONOLOGIA"
"167","TRŽEC IP, 2020, RAD INST POVIJ UMJET"
"168","BERT D, 2020, PLOS ONE"
"169","RYŠÁNEK R, 2023, STUD CONSERV"
"170","MIHĂLCICĂ M, 2021, APPL SCI"
"171","HELAMA S, 2019, QUAT SCI REV"
"172","BELASUS M, 2022, INT J NAUTICAL ARCHAEOL"
"173","AKKEMIK Ü, 2019, DENDROCHRONOLOGIA"
"174","APARICIO AG, 2020, LOW INTENSITY BREED OF NATIV FOR TREES IN ARGENT: GENET BASIS FOR THEIR DOMEST AND CONSERV"
"175","SANCHES FACRDA, 2020, RADIAT PHYS CHEM"
"176","ROMANELLI M, 2022, MICROCHEM J"
"177","SOLANA AC, 2022, HERIT AND THE SEA: VOLUME 1: MARITIME HISTORY AND ARCHAEOLOGY OF THE GLOBAL IBER WORLD (15TH-18TH CENTURIES)"
"178","BINDA G, 2021, SCI TOTAL ENVIRON"
"179","BLONDEL F, 2023, J LABOR SOC"
"180","VISSER RM, 2021, ARCHAEOMETRY"
"181","BURAS A, 2020, DENDROCHRONOLOGIA"
"182","WANG M, 2023, CHIN J APPL ECOL"
"183","SOLANA AC, 2022, HERIT AND THE SEA: MARITIME HISTORY AND ARCHAEOLOGY OF THE GLOBAL IBER WORLD (15TH–18TH CENTURIES): VOLUME 2"
"184","ERBAN KOCHERGINA YV, 2021, J ARCHAEOL SCI"
"185","HOLE GM, 2021, J GEOPHYS RES OCEANS"
"186","DOMÍNGUEZ-DELMÁS M, 2021, J CULT HERITAGE"
"187","AKKEMIK Ü, 2020, DENDROCHRONOLOGIA"
"188","ANANÍAS RA, 2023, WOOD MATER SCI ENG"
"189","BAI Q, 2022, FRONT ECOL EVOL"
"190","NAYLING N, 2023, INT J NAUTICAL ARCHAEOL"
"191","DEBONNE V, 2023, J LABOR SOC"
"192","NOWAK Z, 2022, ENVIRON HIST"
"193","HANSSON A, 2021, DENDROCHRONOLOGIA"
"194","BOCKIUS R, 2021, ARCHAOL KORRESP"
"195","ŠEHO M, 2019, SOUTH-EAST EUR FOR"
"196","WANG H, 2022, FOR ECOL MANAGE"
"197","ANFINSON OA, 2022, TECTONICS"
"198","ANOSHKO OM, 2021, VESTN ARCHEOL ANTROPOL ETNOGR"
"199","MERTZ M, 2022, J ASIAN HUMANIT KYUSHU UNIV"
"200","VISSER RM, 2021, J COMPUT APPL ARCHAEOL"
"201","HUNDEIKER M, 2023, DERMATOLOGIE"
"202","NAKAGAWA R, 2019, JARCHAEOL SCI REP"
"203","FENN K, 2021, QUAT SCI REV"
"204","HOLE GM, 2022, PALAEOGEOGR PALAEOCLIMATOL PALAEOECOL"
"205","MALONE SJ, 2019, SPEC PAP GEOL SOC AM"
"206","ALBERTIN F, 2022, J IMAGING"
"207","SOLANA AC, 2022, HERIT AND THE SEA: VOLUME 1: MARITIME HISTORY AND ARCHAEOLOGY OF THE GLOBAL IBER WORLD (15TH-18TH CENTURIES)-a"
"208","EBERT B, 2019, J MATER CULT"
"209","ELZANOWSKA A, 2023, J CULT HERITAGE"
"210","DE LUGO ENRICH LB, 2022, COMPLUTUM"
"211","MASS E, 2022, CHEM GEOL"
"212","HUANG X, 2021, ECOL INDIC"
"213","BERNABEI M, 2020, IOP CONF SER MATER SCI ENG"
"214","VAN HAM-MEERT A, 2023, PLOS ONE"
"215","ČUFAR K, 2014, DENDROCHRONOLOGIA"
"216","DE LUIS M, 2013, PLOS ONE"
"217","RICH S, 2012, J ANAL AT SPECTROM"
"218","WILCZYŃSKI S, 2019, DENDROBIOLOGY"
"219","WILCZYŃSKI SB, 2013, EUR J FOR RES"
"220","VON ARBIN S, 2012, INT J NAUTICAL ARCHAEOL"
"221","BERNABEI M, 2018, NANOTECHNOLOGIES AND NANOMATER FOR DIAGN, CONSERV AND RESTOR OF CULT HERIT"
"222","XU J, 2016, FOR RES"
"223","BELHAJJAME K, 2015, J WEB SEMANT"
"224","JANSMA E, 2014, J ARCHAEOL SCI"
"225","FRANZEN W, 2010, UMENI"
"226","MIRCHEV S, 2009, BIOTECHNOL BIOTECHNOL EQUIP"
"227","FKIRI S, 2019, AFR J ECOL"
"228","PEYRONEL L, 2016, EBLA AND ITS LANDSC: EARLY STATE FORMATION IN THE ANC NEAR EAST"
"229","RUBINO DL, 2019, DATING BUILDINGS AND LANDSCAPES WITH TREE-RING ANALYSIS: AN INTRODUCTION WITH CASE STUD"
"230","MILLION S, 2018, QUAT INT"
"231","HELLMANN L, 2016, DENDROCHRONOLOGIA"
"232","RICH S, 2016, JARCHAEOL SCI REP"
"233","FRAITURE P, 2009, DENDROCHRONOLOGIA"
"234","WANG J-Z, 2016, FOR RES"
"235","LOCOSSELLI GM, 2017, ERDKUNDE"
"236","DESROSIERS PM, 2010, GEOGR TIDSSKR"
"237","BERNABEI M, 2012, J CULT HERITAGE"
"238","KAGAWA A, 2010, J WOOD SCI"
"239","HAJJ F, 2017, J ARCHAEOL SCI"
"240","STOJAK G, 2019, WIAD KONSERW"
"241","NESI A, 2010, BOLLETTINO D'ARTE"
"242","BROGIOLO GP, 2008, ARCHEOL MEDIEV"
"243","JANSONS A, 2013, FOR ECOL MANAGE"
"244","LENGFELDER F, 2019, SCI TOTAL ENVIRON"
"245","BOSWIJK G, 2018, JARCHAEOL SCI REP"
"246","ELAIEB MT, 2017, BOIS FORETS TROPIQUES"
"247","ZHU J, 2010, GUANG PU XUE YU GUANG PU FEN XI"
"248","DUCKE B, 2016, COMPUTATIONAL APPROACHES TO ARCHAEOLOGICAL SPACES"
"249","DITTMAR C, 2012, DENDROCHRONOLOGIA"
"250","ESZTER T, 2016, ARCHEOM MUHELY"
"251","BRIDGE M, 2011, INT J NAUTICAL ARCHAEOL"
"252","BERNABEI M, 2011, J CULT HERITAGE"
"253","SÁNCHEZ-SALGUERO R, 2013, FOR ECOL MANAGE"
"254","DALY A, 2008, INT J NAUTICAL ARCHAEOL"
"255","MILETO C, 2016, JARCHAEOL SCI REP"
"256","SOUSA MM, 2008, J CHROMATOGR A"
"257","KERN Z, 2014, ARCHEOM MUHELY"
"258","DALY A, 2007, INT J NAUTICAL ARCHAEOL"
"259","POPESCU C-M, 2009, APPL SURF SCI"
"260","CARL C, 2017, FORSTARCH"
"261","DOMÉNECH-CARBÓ A, 2017, ANAL METHODS"
"262","CHHIN S, 2018, FOR ECOSYST"
"263","MAZZANTI P, 2012, J CULT HERITAGE"
"264","PIZZO B, 2010, ARCHAEOMETRY"
"265","HELLMANN L, 2017, QUAT SCI REV"
"266","WEIGHT DH, 2011, PROC INST CIV ENG ENERGY"
"267","EBERT B, 2018, J INST CONSERV"
"268","SASS-KLAASSEN U, 2008, INT BIODETERIOR BIODEGRAD"
"269","FREDRIKSSON M, 2013, WOOD MATER SCI ENG"
"270","GRIESBAUER HP, 2011, FOR ECOL MANAGE"
"271","KARANITSCH-ACKERL S, 2017, DENDROCHRONOLOGIA"
"272","WILSON R, 2017, J ARCHAEOL SCI"
"273","LUTZENBERGER K, 2010, J CULT HERITAGE"
"274","JĀKOBSONE L, 2019, MAKSLAS VEST TEOR"
"275","BRIDGE M, 2012, J ARCHAEOL SCI"
"276","DE JUAN ARES J, 2017, PLOS ONE"
"277","ČEJKOVÁ A, 2009, GEOCHRONOMETRIA"
"278","MCLANE SC, 2011, FOR ECOL MANAGE"
"279","BRISCHKE C, 2008, BUILD ENVIRON"
"280","RODRÍGUEZ-TROBAJO E, 2015, J ARCHAEOL SCI"
"281","PREMO LS, 2016, COMPUTATIONAL APPROACHES TO ARCHAEOLOGICAL SPACES"
"282","RICH S, 2016, ARCHAEOL ANTHROPOL SCI"
"283","BERNABEI M, 2010, J ARCHAEOL SCI"
"284","RODRIGO MACEDO H, 2013, SCI FOREST"
"285","RAMAKRISHNA P, 2007, ACTA BOT HUNG"
"286","BERNABEI M, 2019, NANOTECHNOLOGIES AND NANOMATERIALS FOR DIAGNOSTIC, CONSERVATION AND RESTOR OF CULTURAL HERIT"
"287","STEIN JK, 1993, "
"288","CRONE A, 2002, ANTIQUITY"
"289","BEKKER MF, 2007, TREE-RING RES"
"290","WILSON RJS, 2004, DENDROCHRONOLOGIA"
"291","JOHANSEN S, 1999, SCI TOTAL ENVIRON"
"292","ABABNEH LN, 2000, KIVA"
"293","DVORAK WS, 2005, INT J PLANT SCI"
"294","SIMOVA V, 2005, POWDER DIFFR"
"295","PUKIENE R, 2007, DENDROCHRONOLOGIA"
"296","TOPHAM J, 1998, J ARCHAEOL SCI"
"297","SABAS E, 1988, FOR ECOL MANAGE"
"298","KELLY PM, 2002, HOLOCENE"
"299","ROSENDAHL G, 2006, ANTHROPOLOGIE"
"300","HANECA K, 2005, J ARCHAEOL SCI"
"301","JOHANSEN S, 2001, J GEOPHYS RES C OCEANS"
"302","WANG G, 2007, ACTA HORTIC"
"303","MANIATIS Y, 1989, "
"304","HILLAM J, 1995, ARCHAEOMETRY"
"305","ROMAGNOLI M, 2004, DENDROCHRONOLOGIA"
"306","SAVVA JV, 2006, MITIGATION ADAPT STRATEG GLOBAL CHANGE"
"307","WAZNY T, 2002, DENDROCHRONOLOGIA"
"308","FARMER GL, 1997, BULL GEOL SOC AM"
"309","TEICHMÜLLER M, 1992, INT J COAL GEOL"
"310","ČUFAR K, 2007, TREE-RING RES"
"311","POPESCU C-M, 2007, J ANAL APPL PYROLYSIS"
